Country Code,Country,SDG Region,Sub-region,UNDP Region,Task Force Name,Description of Task Force,Type,Sector,Sector 2,#Men,#Women,Total,%Women,Leader Gender,Woman Leader,Composition Data,Composition Classification,Sources
ISR,Israel,Asia,Western Asia,OECD,Corona Cabinet,"The Corona Cabinet was a Government body that was assembled in May 2020 as a forum of 16 Ministers. It aimed to strengthen Israel's response to the pandemic by coordinating all government agencies involved in dealing with COVID-19. Each decision made by the Cabinet was a subject to parliamentary overview. The Cabinet's duties were paused after a few weeks on the grounds that its size was complicating the decision-making process. On July 26, 2020, the government decided to reduce the size of the Corona Cabinet to 10 members that included the Prime Minister and different Ministers. The mandate of the noted Cabinet ended in May when the composition of the Government was changed. In June 2021, a new Government coalition was formed.",Decision-Making,Multi-Sectoral,Multi-Sectoral,10,0,10,0.00,Man,No,Yes,Majority Men,"https://www.COVID19healthsystem.org/countries/israel/livinghit.aspx?Section=5.%20Governance&Type=Chapter; 
https://mfa.gov.il/MFA/PressRoom/2020/Pages/PM-Netanyahu-chairs-Corona-Cabinet-meeting-4-November-2020.aspx"
JAM,Jamaica,Americas,Latin America and the Caribbean,LAC,COVID-19 Economic Recovery Task Force: Manufacturing & Export Subcommittee,The Manufacturing and Export Subcommittee was created as part of the COVID-19 Economic Recovery Task Force to regain the pre-COVID-19 trajectory of manufacturing sector. Members are from private sector associations.,Expert,Economic,Multi-Sectoral,3,0,3,0.00,Man,No,Yes,Majority Men,https://mof.gov.jm/documents/documents-publications/document-centre/file/2431-COVID-19-economic-recovery-task-force-rebuild-jamaica.html
JAM,Jamaica,Americas,Latin America and the Caribbean,LAC,COVID-19 Economic Recovery Task Force: Agriculture Subcommittee,"The Agriculture Subcommittee was created to address COVID-19-recovery in the agriculture, forestry and fishery sectors. The economic activity generated by this sector is a vital source of income for rural households and there is a strong positive correlation between growth in this sector and growth in the economy. Members are from agriculture and economic sectors in Jamaica. ",Decision-Making,Economic,Multi-Sectoral,4,0,4,0.00,Man,No,Yes,Majority Men,https://mof.gov.jm/documents/documents-publications/document-centre/file/2431-COVID-19-economic-recovery-task-force-rebuild-jamaica.html
JAM,Jamaica,Americas,Latin America and the Caribbean,LAC,COVID-19 Economic Recovery Task Force: Land-Based Tourism Subcommittee,The Land-Based Tourism Subcommittee of the Economic Recovery Task Force is focused on developing the protocols required for the hotel industry to reopen to tourists and return to pre-COVID-19 levels of economic activity. Members are primarily from different businesses and organizations that are involved in tourism.,Decision-Making,Economic,Multi-Sectoral,8,0,8,0.00,Man,No,Yes,Majority Men,https://mof.gov.jm/documents/documents-publications/document-centre/file/2431-COVID-19-economic-recovery-task-force-rebuild-jamaica.html
JEY,Jersey,Europe,Northern Europe,OECD,COVID Vaccination Panel ,The COVID Vaccination Panel was established by the Deputy Minister for Health and Social Services and is tasked with considering vaccination priorities listed in the UK's Joint Committee on Vaccination and Immunization. The Panel can make independent decisions on who may receive advanced vaccination. News of the panel of clinicians and community representatives was shared in February 2021. ,Decision-Making,Public Health,Public Health,5,0,5,0.00,Man,No,Yes,Majority Men,"https://www.gov.je/News/2021/Pages/COVIDVaccinePanel.aspx;
https://www.bailiwickexpress.com/jsy/news/independent-panel-set-discuss-vaccine-priorities1/#.YXw0vp7MKUl"
KWT,Kuwait,Asia,Western Asia,Arab States,Higher Steering Committee for Economic Stimulus,The Higher Steering Committee for Economic Stimulus was created with the objective to implement the package of recommendations approved by the Council of Ministers and to propose crisis measures to address the economic and social repercussions. Its members include governmental and non-governmental representatives from the finance sector.  ,Decision-Making,Economic,Multi-Sectoral,6,0,6,0.00,Man,No,Yes,Majority Men,"https://www.cbk.gov.kw/en/cbk-news/announcements-and-press-releases/announcements/2020/04/202004041221-the-launch-of-the-higher-steering-committee-for-economic-stimulus;
https://www.cbk.gov.kw/en/images/press-higher-steering-committee-econ-apr-2020-1_v00_tcm10-148840.pdf; 
https://www.bis.org/review/r200807b.pdf
"
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,Asia Pacific,National Task Force Committee for COVID-19 Prevention and Control,"National Task Force Committee for COVID-19 Prevention and Control was established in February 2020 by the federal government, and provide appropriate responses and public information to prevent the spread of the virus in the country. Members include Deputy Ministers of Health, Foreign Affairs, Agriculture, Public Security, and Culture/Tourism. 	 ",Decision-Making,Multi-Sectoral,Multi-Sectoral,11,0,11,0.00,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549; 
https://laotiantimes.com/lt_taskforce-resized/; 
https://www.la.emb-japan.go.jp/files/100080410.pdf; 
https://www.COVID19.gov.la/index.php"
MMR,Myanmar,Asia,South-eastern Asia,Asia Pacific,COVID-19 Control and Emergency Response Committee,"The COVID-19 Control and Emergency Response Committee was formed by the President in March 2020 for the purpose of implementing directives taken by the National-Level Central Committee on Prevention, Control and Treatment of COVID-19. The main tasks of the Committee focus on implementing and enforcing public health measures (e.g. contact tracing, quarantine) and tackling misinformation. The Committee is chaired by the Vice President and is composed of ministers and ministry officials. ",Decision-Making,Enforcement,Other,10,0,10,0.00,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549; 
https://web.archive.org/web/20210201145945/https://www.president-office.gov.mm/en/?q=briefing-room/news/2020/04/04/id-9996;
https://www.president-office.gov.mm/en/?q=briefing-room/news/2020/04/04/id-9996"
NPL,Nepal,Asia,Southern Asia,Asia Pacific,COVID-19 Crisis Management Centre (CCMC),"The COVID-19 Crisis Management Centre (CCMC) was established to replace the High Level Coordinating Committee. It is composed by several government ministers chaired by the Deputy Prime Minister and Minister for Defense. The CCMC has four sub-committees focusing on medical operations, logistic operations, security operations, and media and IT operations. It coordinates all COVID-19 counter-measures through the civil service, security agencies, and stakeholders at the central, provincial and local level. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,7,0,7,0.00,Man,No,Yes,Majority Men,"https://www.who.int/docs/default-source/nepal-documents/novel-coronavirus/health-sector-emergency-response-plan-COVID-19-endorsed-may-2020.pdf?sfvrsn=ef831f44_2; 
https://ccmc.gov.np/ccmc_org.html;
https://kathmandupost.com/health/2020/06/13/COVID-crisis-management-centre-to-take-over-high-level-coordination-committee;
http://nhrc.gov.np/wp-content/uploads/2021/02/Policy-audit-Report-Final-MD.pdf;
https://drive.google.com/file/d/1KiWMP9oKCI1Cfj4VLgiUZk3QhJdnwRkP/view;
https://thehimalayantimes.com/nepal/former-lieutenant-general-balananda-sharma-appointed-ceo-of-ccmc;"
PNG,Papua New Guinea,Oceania,Melanesia,Asia Pacific,Ministerial Committee on Coronavirus,"The Papua New Guinea Ministerial Committee on Coronavirus is a multi-sectoral committee, created to coordinate the acts of the Government and the private sector during the implementation of the Emergency Preparedness and Response Plan-COVID 19. It undertook roles such as implementing clinical management and prevention protocol, risk communication, research work on COVID and surveillance.",Decision-Making,Multi-Sectoral,Multi-Sectoral,7,0,7,0.00,Man,No,Yes,Majority Men,https://www.who.int/docs/default-source/wpro---documents/countries/papua-new-guinea/COVID-19/png-COVID-19-health-situation-report-06.pdf?sfvrsn=97936632_2
PHL,Philippines,Asia,South-eastern Asia,Asia Pacific,National COVID-19 Task Force,"The purpose of the National COVID-19 Task Force is to be the operational command of the COVID-19 response. This task force is linked to the Inter-Agency Task Force for Emerging and Infectious Diseases which produces policies related to the COVID-19 response. The National Task Force is led by the Secretary of National Defense, and is made up of three task groups (response operation, resource management and logistics, and strategic communications). The Task Group of response operation is headed up by the Department of Health in collaboration with other national government agencies.",Decision-Making,Multi-Sectoral,Multi-Sectoral,4,0,4,0.00,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/bmjgh/5/10/e003549.full.pdf; 
https://www.gmanetwork.com/news/news/nation/731253/palace-bares-national-action-plan-vs-COVID-19/story/;
https://mb.com.ph/2020/03/25/lorenzana-heads-COVID-19-national-task-force/;
https://doh.gov.ph/sites/default/files/basic-page/The%20Philippine%20National%20COVID-19%20Vaccination%20Deployment%20Plan.pdf;
https://covid19.gov.ph/"
THA,Thailand,Asia,South-eastern Asia,Asia Pacific,National Committee for Controlling the Spread of COVID-19,"The National Committee for Controlling the Spread of COVID-19 is focused on all aspects of the COVID-19 response including information and enforcement of preventative measures. The Committee is led by the Prime Minister and includes members from various ministries, such as interior, public health, foreign affairs, and commerce. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,28,0,28,0.00,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549;
http://www.xinhuanet.com/english/2020-03/27/c_138920748.htm; 
http://www.xinhuanet.com/english/2020-03/27/c_138920748.htm"
UKR,Ukraine,Europe,Eastern Europe,ECIS,Coordination Council for Counteracting the Proliferation of COVID-19 (Координаційну раду з протидії поширенню COVID-19),"The Coordination Council for Counteracting the Proliferation of COVID-19 was established by the President in March 2020, as an advisory body. Its main task is to monitor the situation and develop proposals for effective cross-sectoral measures to combat the spread of COVID-19 in Ukraine. The Council is chaired by the President of Ukraine and is composed of high-level government officials across different ministries, such as infrastructure, health, defense and foreign affairs. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,15,0,15,0.00,Man,No,Yes,Majority Men,"https://www.president.gov.ua/documents/882020-32745; 
https://112.international/politics/coordination-council-on-countering-covid-2019-spread-established-in-ukraine-49566.html"
ECU,Ecuador,Americas,Latin America and the Caribbean,LAC,Transparency Committee of the COVID-19 Vaccination Plan (Comité de Transparencia de plan de Vacunación contra COVID-19),"The President established the Transparency Committee of the COVID-19 Vaccination Plan in January 2021. The Committee is tasked with verifying the transparency and the correct application of technical parameters throughout all the stages of the vaccination process. It is composed of three high-ranking experts from Academia – with backgrounds in Medicine, Law and Physics/Education respectively – who were appointed by the President. ",Expert,Public Health,Public Health,3,0,3,0.00,,Missing,Yes,Majority Men,https://www.swissinfo.ch/spa/coronavirus-ecuador_ecuador-forma-comit%C3%A9-de-transparencia-de-plan-de-vacunaci%C3%B3n-contra-covid-19/46308268 ; https://www.elcomercio.com/tendencias/sociedad/expertos-vigilaran-proceso-vacunacion-ecuador.html
KAZ,Kazakhstan,Asia,Central Asia,ECIS,State Commission for Ensuring the State of Emergency,"By President's order of March 15, 2020, a special State Commission called the State Commission for Ensuring the State of Emergency was created. The Commission answered to the President of the Republic of Kazakhstan, and was endowed with the powers provided by the Law of the Republic of Kazakhstan ""On the state of emergency"". The Commission was chaired by Prime Minister and involved ministers from 21 executive branch agencies. According to the President's order, the state of emergency shall be introduced until April 15, 2020.",Decision-Making,Enforcement,Other,22,0,22,0.00,Man,No,Yes,Majority Men,"https://www.coronanet-project.org/; 
https://www.akorda.kz/ru/legal_acts/decrees/o-vvedenii-chrezvychainogo-polozheniya-v-respublike-kazahstan?q=%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81"
NPL,Nepal,Asia,Southern Asia,Asia Pacific,COVID-19 Vaccine Committee,"In November 2020, the Government of Nepal established the COVID-19 Vaccine Committee to carry out a research on vaccines created by foreign pharmaceutical firms as well as follow the necessary protocols and processes to ensure the vaccine arrival in Nepal. The Committee was composed of Secretaries of Finance Ministry, Ministry of Home Affairs, and Ministry of Foreign Affairs.",Decision-Making,Public Health,Public Health,3,0,3,0.00,,Missing,Yes,Majority Men,"https://www.coronanet-project.org/; 
https://myrepublica.nagariknetwork.com/news/govt-holding-discussions-to-procure-pfizer-vaccine-claimed-to-be-over-90-effective/; 
https://thehimalayantimes.com/nepal/nepal-govt-forms-committee-to-procure-covid-19-vaccine/"
AZE,Azerbaijan,Asia,Western Asia,ECIS,Task Force under the Cabinet of Ministers,"On February 27, 2020, the Government of Azerbaijan established the Task Force under the Cabinet of Ministers, which consist of 34 senior officials of the relevant authorities to coordinate the Government response to COVID-19. The Task Force has 9 main pillars, one of them focusing on women-centered programmes in a wide range of areas such as economic recovery, sexual and reproductive health, domestic violence, etc. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,33,1,34,2.94,Man,No,Yes,Majority Men,"https://nk.gov.az/en/category/10/;
https://www.ohchr.org/Documents/Events/GoodPracticesCoronavirus/azerbaijan-submission-COVID19.pdf;
https://nk.gov.az/en/page/56/"
KHM,Cambodia,Asia,South-eastern Asia,Asia Pacific,Task Force to Control Supply and Prices of Strategic Goods ,"The Ministry of Economy and Finance created the Task Force to Control Supply and Prices of Strategic Goods to determine the types of strategic goods that are deemed essential for daily consumption during COVID-19. This Task Force monitors the daily demand and supply of such strategic goods to guarantee sustainability without any interruptions, and appropriate pricing.",Decision-Making,Economic,Multi-Sectoral,25,1,26,3.85,Man,No,Yes,Majority Men,https://www.eurocham-cambodia.org/post/714/03-07-APRIL-KEEPING-YOU-INFORMED-RECENT-ANNOUNCEMENTS-BY-THE-ROYAL-GOVERNMENT
IRQ,Iraq,Asia,Western Asia,Arab States,Higher Committee for Health and National Safety (اللجنة العليا للصحة و السلامة الوطنية لمكافحة فيروس كورونا),"In March 2020, the Higher Committee for Health and National Safety of Iraq was created by the Council of Ministers. The Committee is chaired by the Prime Minister and includes various Ministers as well as the representatives from the Kurdistan Regional Government and other governmental authorities. The Committee is responsible for the coordination of relevant national and international actors in order to address the existing challenges in the events of COVID-19. Adopting the national strategies and plans and overseeing their implementation process are among the key tasks of the Committee.",Decision-Making,Multi-Sectoral,Multi-Sectoral,24,1,25,4.00,Man,No,Yes,Majority Men,"http://arabic.news.cn/2020-03/30/c_138929139.htm; 
https://www.mondaq.com/litigation-contracts-and-force-majeure/918130/COVID-19-outbreak-in-iraq-and-the-official-outbreak-response;
https://gds.gov.iq/COVID-19-iraq-extends-travel-ban-to-several-new-countries/;
https://gds.gov.iq/prime-minister-chairs-first-meeting-of-higher-committee-for-health-and-national-safety/"
KHM,Cambodia,Asia,South-eastern Asia,Asia Pacific,Task Force to Plan for Budget Policy on Financing and Social Assistance in Controlling the Fight Against COVID-19,"The Ministry of Economy and Finance created the Task Force to Plan for Budget Policy and Financing on Social Assistance. The primary objective of the Task Force is to study and determine the required budget for the COVID-19 response based on three priorities: preventing COVID-19 outbreaks, stabilizing livelihoods of vulnerable people, and helping to stabilize businesses.",Decision-Making,Economic,Multi-Sectoral,16,1,17,5.88,Man,No,Yes,Majority Men,https://www.eurocham-cambodia.org/post/714/03-07-APRIL-KEEPING-YOU-INFORMED-RECENT-ANNOUNCEMENTS-BY-THE-ROYAL-GOVERNMENT
BTN,Bhutan,Asia,Southern Asia,Asia Pacific,Technical Advisory Group,"The government formed the Technical Advisory Group (TAG), which advises the Health Emergency Management Committee and the Health Emergency Operation Center in relation to COVID-19. It is composed of epidemiologists, researchers, public health officials, and officials from the WHO. The primary role of the Technical Advisory Group is to provide technical guidance to the Health Emergency Management Committee. It reviews the national and global COVID-19 situation and recommends the emergency equipment, medicines, and supplies needed. The committee also conducts risk-assessment and management plans in health emergencies. ",Decision-Making,Public Health,Public Health,15,1,16,6.25,Man,No,Yes,Majority Men,"https://www.cabinet.gov.bt/wp-content/uploads/2020/03/National-Preparedness-and-Response-Plan-3rd-ed-1-1.pdf;
http://www.moh.gov.bt/wp-content/uploads/ict-files/2020/01/National-Preparedness-and-Response-Plan-4th-ed.pdf;
https://www.gov.bt/covid19/"
QAT,Qatar,Asia,Western Asia,Arab States,Supreme Committee on Crisis Management,"The Supreme Committee on Crisis Management is chaired by the Prime Minister and the Minister of Interior. It is responsible for managing crisis and disasters and taking all necessary measures to confront them. It focuses on the public health response, enforcement of regulations, and plans for reopening. It was created in response to the COVID-19 pandemic and has been the responsible body for managing COVID-19 pandemic since March 2020. The Committee has the power to use necessary resources to protect the community, and the authority to approve the national plans to respond to COVID-19. Although the Committee was created in response to COVID-19, it is not limited to responding only on this current pandemic. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,15,1,16,6.25,Man,No,Yes,Majority Men,"https://leap.unep.org/countries/qa/national-legislation/prime-minister-decision-no4-2020-organizing-supreme-committee; 
https://almeezan.qa/LawView.aspx?opt&LawID=8338&language=ar; 
https://www.gco.gov.qa/en/briefing-room/supreme-committee-for-crisis-management-press-conference-on-8-june/;
https://covid19.moph.gov.qa/EN/Pages/default.aspx"
HUN,Hungary,Europe,Eastern Europe,OECD,Operational Group for Protection against the Coronavirus Epidemic,"The goal of the Operational Group for Protection against the Coronavirus is to screen out and localize any incidents of COVID-19 in Hungary, and to coordinate the tasks of state bodies in order to effectively organize healthcare and epidemiological measures. According to the source, the Operational Group is led by the Minister of the Interior and the Minister of Human Resources, and included the government agencies from Public Security, Police, and Disaster Management, as well as public health sector players such as Pest Central Hospital, State Health Care Center and Natinal Ambulance Service.",Decision-Making,Multi-Sectoral,Multi-Sectoral,14,1,15,6.67,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549; 
https://2015-2019.kormany.hu/en/ministry-of-interior/news/the-operational-group-s-action-plan-for-protection-against-the-coronavirus-epidemic; 
http://abouthungary.hu/blog/operational-group-the-number-of-newly-confirmed-infections-is-declining/;
https://hirtv.hu/ahirtvhirei/orban-egy-operativ-torzs-jott-letre-a-koronvirussal-kapcsolatban-2494449"
VNM,Viet Nam,Asia,South-eastern Asia,Asia Pacific,National Steering Committee for COVID-19 Prevention and Control,"The National Steering Committee for COVID-19 Prevention and Control oversees the dissemination of information related to COVID-19, and creation of policy, including an mobile educational application. The government established the Committee early in 2020 and appointed the Vice-Prime Minister as chair and the Vice-Minister of Health as a vice chair. Ministry and province-level steering committees were also created. The Committee includes representatives from the Ministries of Transport, Public Security, Health, and Finance. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,13,1,14,7.14,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549;
http://news.chinhphu.vn/Home/Fighting-nCoV-epidemic-is-top-task-now-says-Deputy-PM/20202/38632.vgp; 
http://news.chinhphu.vn/Home/PM-orders-detailed-plan-for-coronavirus-pneumonia-prevention/20201/38598.vgp; "
NER,Niger,Africa,Sub-Saharan Africa,Africa,"High Level Interministerial Pandemic Consultative Committee (Advisory Committee), (Le Comité Consultatif)","The High Level Interministerial Pandemic Committee is a multi-sectoral committee created by the Prime Minister. The purpose of the Committee is to strengthen dialogue between the government and development partners to improve the effectiveness of the Global Pandemic Response Plan and to cooperate with development partners such as UNICEF in health management and the provision of basic social services and quality of life. Membership includes representatives from relevant ministries, UN Agencies, and other technical and financial partners.",Decision-Making,Multi-Sectoral,Multi-Sectoral,12,1,13,7.69,Man,No,Yes,Majority Men,"Information provided by UNDP/UN Women Country Office;
https://gh.bmj.com/content/5/10/e003549;
https://reports.unocha.org/en/country/niger/card/4Mr4tGi0Fy/"
