Country Code,Country Name,Region,Subregion,Policy Measure Category,Policy Measure Type,Policy Measure Sub-Type,Policy Measure Description,Source,Addresses VAWG,Targets Women's Economic Security,Directly supports unpaid care,Gender Sensitive,Environmental relevance,Positive for environment,Gender-Green Nexus
FRA,France,Europe,Western Europe,Labour market,Activation measures and enterprise development,Not specific,"In order to support the recruitment of 1,000 young people in VSEs, SMEs and ETIs in ecological transition trades, aid of up to € 8,000 will be paid to the company that welcomes a talent in Territorial Volunteering in a company (VTE). Eligible companies can be VSEs, SMEs or ETIs. They must hire, for a mission of at least one year, from September 1, 2020: on an employment contract, a young person with a minimum of 3 years of higher education, graduated less than 2 years ago; or on an apprenticeship contract (if applicable, minimum duration of 10 months) or professionalization, a young person who has already graduated with a bac + 2 level and is in training for a bac + 3 level or more. The Green VTE Aid cannot be combined with the franc employment aid or with the hiring aid for young people under 26 years old instituted by decree n ° 2020-982 of August 5, 2020. VTE Vert aid can be partially combined with the exceptional work-study aid provided for the apprenticeship and professionalization contracts concluded between July 1, 2020 and March 31, 2021. When a company already benefits from this aid, the amount of VTE Vert Aid is capped at € 4,000. Launch in January 2021 (retroactive application possible for contracts signed from September 1, 2020).",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2529,NO,NO,NO,NO,YES,YES,NO
CZE,Czechia,Europe,Eastern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs",Loan guarantees,Not specific,"SA 61948, Resolution no. 50 COVID Accommodation II  -  The Government approved an amendment to a Government resolution, by which operators of accommodation facilities are now eligible for a bank loan with a State guarantee from Export Guarantee & Insurance Corp. Aid may be granted under the measure as from the notification of the Commission’s approval until no later than 31 December 2021. This is an extension of the government's previous COVID Accommodation I measure. Both programmes aim to support the tourism sector, namely accommodation establishments, affected by COVID-19, to help preserve jobs, the operation of establishments, supply of services, strengthen liquidity and development of the sector. Accommodation and food services accounts for about 10% of women's employment in Czechia, compared to less than 5% of men's. ","https://som.yale.edu/node/222278;  
https://ec.europa.eu/competition/state_aid/cases1/202115/293342_2263922_50_2.pdf",NO,YES,NO,YES,YES,NO,NO
DEU,Germany ,Europe,Western Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Corona Bonus. A one-time salary premium of up to 1.000 Euro was paid to employees in long-term/geriatric care. In Germany, 84% of workers in long-term care are women.",https://documents1.worldbank.org/curated/en/281531621024684216/pdf/Social-Protection-and-Jobs-Responses-to-COVID-19-A-Real-Time-Review-of-Country-Measures-May-14-2021.pdf,NO,YES,NO,YES,NO,NO,NO
GRC,Greece,Europe,Southern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Employees in the wider national healthcare system as well as civil protection staff, who are in the frontline of the fight against the epidemic received the Easter bonus - a benefit that had been abolished in the public sector during the economic crisis. In Greece, women comprise around 62% of the health care workers.","http://documents1.worldbank.org/curated/en/467521607723220511/pdf/Social-Protection-and-Jobs-Responses-to-COVID-19-A-Real-Time-Review-of-Country-Measures-December-11-2020.pdf;

https://www.cnn.gr/oikonomia/story/241022/epidoma-eidikoy-skopoy-poioi-einai-dikaioyxoi-ton-534-eyro ;

https://www.ilo.org/shinyapps/bulkexplorer19/?lang=en&segment=indicator&id=EMP_TEMP_SEX_EC2_NB_A",NO,YES,NO,YES,NO,NO,NO
XKX,"Kosovo, under UNSC res 1244",Europe,Southern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"The Government will provide interest-free loans to publicly-owned enterprises facing financial difficulties due to the public health emergency situation, aiming to ensure their temporary liquidity, with maturity period until December 31, 2020 and financial liquidity for business organization authorized to provide basic services, with the return period until December 31, 2020 up to the amount of 20 million EUR. In Kosovo, public sector employment accounts for 47.8% of women's employment compared to 33.4% of men's.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://kryeministri.rks-gov.net/en/approval-of-emergency-fiscal-package/",NO,YES,NO,YES,NO,NO,NO
HUN,Hungary,Europe,Eastern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"The Government considers the recognition of the extremely hard work of healthcare personnel absolutely necessary; therefore, around 160,000 employees, both men and women, received a bonus allowance of 500,000 HUF (1660 USD) as a sign of appreciation. In Hungary, women comprise around 75% of the health care workers","http://abouthungary.hu/news-in-brief/pm-orban-healthcare-workers-will-receive-a-bonus-for-fighting-on-the-COVID-19-frontline/;
https://www.ilo.org/shinyapps/bulkexplorer19/?lang=en&segment=indicator&id=EMP_TEMP_SEX_EC2_NB_A",NO,YES,NO,YES,NO,NO,NO
HUN,Hungary,Europe,Eastern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"The European Investment Bank (EIB), the lending arm of the European Union, and the Hungarian Ministry of Finance signed a 162.5 million EUR loan to support the country’s healthcare sector during the COVID-19 pandemic. The loan covers the procurement of medical supplies, PPE, mobile unites, and an emergency container hospital. ","https://som.yale.edu/node/222278;  
https://www.eib.org/en/press/all/2020-342-eib-supports-hungarian-healthcare-sector-during-covid-19-pandemic-with-eur162-5-million",NO,YES,NO,YES,YES,NO,NO
LVA,Latvia,Europe,Northern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"SA.58072 COVID-19 - Aid to performers of economic activities in the tourism sector. This measure is taken by the European Commission for the Latvian businesses in tourism sector that are affected by the outbreak. The eligible companies are the ones who faced an income loss of at least 30% over one month during the period from April to June 2020, compared to the same month in 2019. This grant is only to be used in for the wage of the workers. This measure addresses women's economic security, as the accommodation and services sector in Latvia employs 5.4% of women compared to 1.9% men. ","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://ec.europa.eu/info/live-work-travel-eu/coronavirus-response/jobs-and-economy-during-coronavirus-pandemic/state-aid-cases/latvia_en;
https://ec.europa.eu/commission/presscorner/detail/en/mex_20_1418; https://ec.europa.eu/competition/elojade/isef/case_details.cfm?proc_code=3_SA_58072; 
https://bnn-news.com/latvian-state-to-allocate-eur-19-2-million-to-support-tourism-industry-215318;  http://www.baltic-course.com/eng/good_for_business/?doc=157415&output=d;
 https://ec.europa.eu/competition/state_aid/cases1/202031/287247_2177088_39_2.pdf",NO,YES,NO,YES,YES,NO,NO
LTU,Lithuania,Europe,Northern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"SA.57135 Lithuania notified to the European Commission under the Temporary Framework a 101.5 million EUR rent compensation scheme to support sectors affected by the coronavirus outbreak. The scheme will be accessible to companies operating in certain sectors defined by Lithuania, including retail, hotels, restaurants, culture and sports and whose annual turnover in the previous year does not exceed 50 million EUR. The measure targets women's economic security, as Accommodation and food service activities in Lithuania employs 3 times more women than men.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://ec.europa.eu/competition/elojade/isef/case_details.cfm?proc_code=3_SA_57135",NO,YES,NO,YES,YES,NO,NO
LTU,Lithuania,Europe,Northern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,SA.58476 COVID-19: Grants to tour operators for the repatriation of travelers. The scheme aims at supporting particularly affected entities and sectors. Tourism-related activities employ three times more women than men.,"https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; 
https://ec.europa.eu/competition/state_aid/cases1/202038/287863_2188715_29_2.pdf",NO,YES,NO,YES,YES,NO,NO
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Labour market,Reduced work time & telework,Not specific,"Labor protection measures were put in place to support parents, including single parent households, recommending employers ensure that one working parent is enabled to stay at home with children under the age of 10, and proposing measures such as flexible working arrangements, telecommuting, reorganization of work into two shifts, reducing overall working hours and improving health and safety measures for employees at workplaces. ",https://www.paragraf.ba/propisi-naredbe-bosne-i-hercegovine-za-sprecavanje-sirenja-korona-virusa-COVID-19.html ,NO,NO,YES,YES,YES,NO,NO
CZE,Czechia,Europe,Eastern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"The government has instituted a financial help team for the self-employed. The support is limited to 44,500 CZK for the period between 12 March and 8 June 2020. It was directed at businesses affected by the COVID-19 crisis. The scheme has aimed to offset losses in certain female-dominated sectors and jobs, such as hairdressing and cosmetics.","https://home.kpmg/xx/en/home/insights/2020/04/czech-republic-government-and-institution-measures-in-response-to-COVID.html;
http://www.amcham.cz/news/government-measures-supporting-business; https://www.mfcr.cz/cs/aktualne/tiskove-zpravy/2020/snemovna-schvalila-podporu-pro-spolecnik-38411; 
https://www.nordicchamber.cz/press/covid/?kat=2; https://www.tmf-group.com/en/news-insights/coronavirus/government-support-schemes/; 
https://cms.law/en/int/expert-guides/cms-expert-guide-to-state-aid-in-the-eu-during-coronavirus-crisis/czech-republic; 
https://www.bdo.cz/en-gb/insights/featured-insights/state-financial-support-related-to-coronavirus",NO,YES,NO,YES,NO,NO,NO
GRC,Greece,Europe,Southern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"A loan of 200 million EUR for the financing of the national assistance under the National Strategic Reference Framework (NSRF) 2014-2020, with the total support of the EIB amounting to EUR 1.7 billion. Priority investments in small-scale green projects, such as research and innovation, entrepreneurship, clean energy, environmental protection, education, and health. More than 25% of the projects funded will reduce climate emissions and help Greece contribute to global climate goals. Education and health care are both sectors with gender gaps of about 7-8%. ","https://som.yale.edu/node/222278;  
https://www.eib.org/en/press/all/2021-030-eur-200m-eib-backing-for-climate-economic-and-social-cohesion-projects-across-greece",NO,YES,NO,YES,YES,YES,YES
POL,Poland,Europe,Eastern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"SA.58102 COVID-19 aims at ensuring that companies have sufficient liquidity to maintain their activities by providing support to tour operators and other undertakings active in tourism and culture. Measures include direct grants, interest rate subsidy, reduction of social security contributions. Women are more than twice as likely as men to work in accommodation and food services in Poland.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://ec.europa.eu/competition/elojade/isef/case_details.cfm?proc_code=3_SA_58102; 
https://ec.europa.eu/competition/state_aid/cases1/202039/287812_2191234_87_2.pdf",NO,YES,NO,YES,YES,NO,NO
ITA,Italy,Europe,Southern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Workers in essential services. In order to support workers engaged in essential services (e.g. health, police, groceries) a bonus of €100 is granted to these workers with an overall annual income of less than 40,000 euros. In Italy, women comprise around 65% of the health care workers.","https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2734;
https://www.ilo.org/shinyapps/bulkexplorer19/?lang=en&segment=indicator&id=EMP_TEMP_SEX_EC2_NB_A",NO,YES,NO,YES,NO,NO,NO
EST,Estonia,Europe,Northern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"SA 57014 Estonia notified to the European Commission under the Temporary Framework eight support schemes, with a total estimated budget of 75.5 million EUR, to support companies affected by the coronavirus outbreak. Under the schemes, public support will be provided as follows: (i) 10 million EUR in the form of direct grants to support small companies that seek to transform their products, services, processes and business model in order to support their viability; (ii) 14 million EUR in the form of direct grants to companies that invest in development projects to support their viability; (iii) 5 million EUR in the form of direct grants to companies in the tourism sector that seek to restructure their activities, to develop new products and/or services, or to change their business model as a result of the outbreak; (iv) 25 million EUR in the form of direct grants to companies in the tourism sector in order to mitigate coronavirus related damage (which is a female-dominated sector: for every man working in Accommodation and services there are 2.2 women); (v)  20 million EUR in the form of direct grants to companies and organizations active in the culture and sports sectors affected by the coronavirus; (vi) 250,000 EUR in the form of payment advantages to companies supplying products or services to the City of Tallinn; (vii) 250,000 EUR in the form of a waiver of penalties to companies that failed to fulfil in due time orders from the City of Tallinn; and (viii) 1 million EUR in the form of reduced rent leases and usage fees to lessees of municipal property of the City of Tallinn.",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
NLD,Netherlands,Europe,Western Europe,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"The cabinet is further expanding the support and recovery package for jobs and the economy in parts. It also abandons the planned austerity measures in support measures. There will be additional compensation for companies with high turnover losses, for example because they are closed due to COVID-19. This reinforcement involves an amount of 3.7 billion EUR. The support package includes measures targeting the events sector, travel industry, entrepreneurs, and other critical sectors, such as healthcare and education.","https://som.yale.edu/node/222278; 
https://www.rijksoverheid.nl/ministeries/ministerie-van-financien/nieuws/2020/12/09/kabinet-versterkt-vangnet-voor-bedrijven-en-banen",NO,YES,NO,YES,NO,NO,NO
GRC,Greece,Europe,Southern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"For retail, catering, culture, sports, gyms, tourism, transportation, hairdressers, beauty salons, bookstores and businesses that remain closed by state order until January 11, payment is suspended for the month of January. 80% of the agreed monthly rent, and not on the loss, will be reimbursed to the owners from the State Budget, so that they do not have further losses than they currently have. In this way, the cost of rent is shared by 80% in the State and by 20% in the lessor. Therefore, the company that uses the property will not pay rent in January. Legal entitles that lease real estate to these companies, the owners will be reimbursed by 60% the cost of monthly rent for January. In addition, companies that remained closed by state order during the holidays, as well as companies in the tourism and transport sectors, will have a discount in February. ","https://som.yale.edu/node/222278; 
https://www.minfin.gr/web/guest/deltia-typou/-/asset_publisher/4kjvD0lBldee/content/oi-epicheireseis-pou-paramenoun-kleistes-me-kratike-entole-eos-tis-11-1-2021-den-tha-katabaloun-enoikio-ton-mena-ianouario?inheritRedirect=false&redirect=https%3A%2F%2Fwww.minfin.gr%2Fweb%2Fguest%2Fdeltia-typou%3Fp_p_id%3D101_INSTANCE_4kjvD0lBldee%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-2%26p_p_col_count%3D1",NO,YES,NO,YES,NO,NO,NO
MDA,Republic of Moldova,Europe,Eastern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"Decrease in VAT from 15% to 12% for the hotel, restaurant, and café sectors. Tourism activities (Accommodation and food services) employ 2.2 times more women than men.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; 
https://www.odimm.md/ro/presa/intrebarea-zilei/4869-care-sunt-noile-reglementari-privind-tva-pentru-anul-2021",NO,YES,NO,YES,YES,NO,NO
RUS,Russian Federation,Europe,Eastern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Lump-sum cash payments for medical workers who work directly with COVID-19 patients (470000 people) was paid in April to September of 2020 on a monthly basis, which amounted 80,000 RUB (1000 USD) for doctors, 50,000 RUB (625 USD) for nurses, 25,000 RUB (313 RUB) for junior medical staff, and 25,000-50,000 (313-625 USD) for ambulance drivers per month.",http://documents1.worldbank.org/curated/en/467521607723220511/pdf/Social-Protection-and-Jobs-Responses-to-COVID-19-A-Real-Time-Review-of-Country-Measures-December-11-2020.pdf,NO,YES,NO,YES,NO,NO,NO
RUS,Russian Federation,Europe,Eastern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,Subsidies to travel operators to return funds to tourists and reimburse travel operators’ expenses to return tourists from foreign countries due to the coronavirus outbreak. Accommodation and food service activities employ 2.7 more women than men in the Russian Federation.,"https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; 
https://www.economy.gov.ru/material/news/ekonomika_bez_virusa/na_subsidirovanie_ubytkov_turoperatorov_v_svyazi_s_koronavirusom_vydeleno_do_35_milliardov_rubley.html",NO,YES,NO,YES,YES,NO,NO
ROU,Romania,Europe,Eastern Europe,Labour market,Reduced work time & telework,Not specific,"For the medical staff (of which about 75% are women): flexible working hours, financial bonuses and accommodation is provided in a hotel regime.","https://www.coe.int/en/web/genderequality/promoting-and-protecting-women-s-rights source for budget: https://www.digi24.ro/stiri/actualitate/sanatate/bolos-stimulentul-de-risc-pentru-personalul-medical-va-fi-de-2-500-de-lei-vor-beneficia-75-000-de-cadre-medicale-1287684 ; https://dspiasi.ro/acordarea-stimulentului-de-risc-conform-prevederilor-art-8-alin-1-lit-f1-din-oug-nr-43-2020-pentru-aprobarea-unor-masuri-de-sprijin-decontate-din-fonduri-europene-ca-urmare-a-raspandirii-c/ ; 
http://www.ms.ro/2021/03/18/modificari-legislative-pentru-plata-stimulentului-de-risc-acordat-personalului-medical-implicat-in-tratarea-pacientilor-cu-covid-19/",NO,YES,NO,YES,NO,NO,NO
RUS,Russian Federation,Europe,Eastern Europe,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"(i) The Central Bank of Russia introduced a $6.3 billion facility aimed at financing SMEs, and reduced interest rate on current $2.2 billion facility. (ii) The distressed sectors of the economy such as tourism and air transport will be given tax deferrals. (iii) Support for small and medium-sized businesses has begun with a three-month deferral on insurance contributions and a temporary deferral of rents for lessees of state-owned or municipal properties. (iv) A moratorium is being introduced on inspections of SME businesses, including tax and customs. Tourism-related sectors, such as accommodation and food services, employ 2.7 more women than men in the Russian Federation.",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
SVN,Slovenia,Europe,Southern Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Self-employed persons and farmers are entitled to partial reimbursement of lost income for the duration of ordered quarantine or for the duration of inability to perform work due to force majeure due to childcare obligations. The amount of the partial reimbursed lost income is 250 EUR, but no more than 250 EUR for 10 days, 500 EUR for 20 days and 750 EUR in one month. The duration of the measure is from 1 October to 31 December 2020 with the possibility of extension for six months.",https://selih.si/en/COVID-19-en/the-fifth-COVID-19-act-adopted/ source for budget and end date (pg. 91) - https://ec.europa.eu/info/sites/default/files/coronovirus_policy_measures_12_february_2021.pdf,NO,NO,YES,YES,NO,NO,NO
SWE,Sweden,Europe,Northern Europe,Labour market,Activation measures and enterprise development,Not specific,"As unemployment is expected to rise as a consequence of the COVID-19 outbreak, increased funding has been allocated to the Swedish public Employment Service (Arbetsförmedlingen) and labour market policy programmes. The period during which a person may have a subsidized form of employment is extended by an additional year for those who already have such jobs. Additionally, the maximum time for support for starting a business is extended from 6 to 12 months. Municipalities will receive grants for more summer jobs for young people and funding for 'green jobs'. The measure to increase spending on Active labour market policy includes: 1. Increased funding to the Public Employment Service (Arbetsförmedlingen) (SEK 0.33 billion); 2. Summer jobs for young people (SEK 0.18 billion); 3. Green jobs (i.e. jobs in the environmental goods and services sector, to enable subsidized employment, primarily in the area of nature and forest conservation) (SEK 0.15 billion); 4. More programme measures (SEK 1.87 billion); 5. Extended time in measures (subsidized employment forms include ‘extra jobs’, new start jobs or introductory jobs) and support for business (SEK 0.05 billion).",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-3429,NO,NO,NO,NO,YES,YES,NO
AUT,Austria,Europe,Western Europe,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Corona hazard bonus of €500 for workers in the social and healthcare sectors for those directly dealing with COVID-19 patients between March 16th 2020 and June 30th 2020. In Austria, female workers comprise 74% of the workers in the health care sector.","https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2110;
https://apps.who.int/gho/data/node.main.HWFGRP_BYSEX?lang=en",NO,YES,NO,YES,NO,NO,NO
